,tweet_id,timestamp,source,text,expanded_urls,rating_numerator,rating_denominator,name,txt_splt,Extracted_name,jpg_url,img_num,dog_type,favorite_count,retweet_count
0,892420643555336193,2017-08-01 16:23:56,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",This is Phineas. He's a mystical boy. Only ever appears in the hole of a donut. 13/10 https://t.co/MgUWQ76dJU,https://twitter.com/dog_rates/status/892420643555336193/photo/1,13.0,10,Phineas,"['This', 'is', 'Phineas.', ""He's"", 'a', 'mystical', 'boy.', 'Only', 'ever', 'appears', 'in', 'the', 'hole', 'of', 'a', 'donut.', '13/10', 'https://t.co/MgUWQ76dJU']",Phineas,https://pbs.twimg.com/media/DGKD1-bXoAAIAUK.jpg,1,,37986,8302
1,892177421306343426,2017-08-01 00:17:27,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","This is Tilly. She's just checking pup on you. Hopes you're doing ok. If not, she's available for pats, snugs, boops, the whole bit. 13/10 https://t.co/0Xxu71qeIV",https://twitter.com/dog_rates/status/892177421306343426/photo/1,13.0,10,Tilly,"['This', 'is', 'Tilly.', ""She's"", 'just', 'checking', 'pup', 'on', 'you.', 'Hopes', ""you're"", 'doing', 'ok.', 'If', 'not,', ""she's"", 'available', 'for', 'pats,', 'snugs,', 'boops,', 'the', 'whole', 'bit.', '13/10', 'https://t.co/0Xxu71qeIV']",Tilly,https://pbs.twimg.com/media/DGGmoV4XsAAUL6n.jpg,1,,32611,6130
2,891815181378084864,2017-07-31 00:18:03,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",This is Archie. He is a rare Norwegian Pouncing Corgo. Lives in the tall grass. You never know when one may strike. 12/10 https://t.co/wUnZnhtVJB,https://twitter.com/dog_rates/status/891815181378084864/photo/1,12.0,10,Archie,"['This', 'is', 'Archie.', 'He', 'is', 'a', 'rare', 'Norwegian', 'Pouncing', 'Corgo.', 'Lives', 'in', 'the', 'tall', 'grass.', 'You', 'never', 'know', 'when', 'one', 'may', 'strike.', '12/10', 'https://t.co/wUnZnhtVJB']",Archie,https://pbs.twimg.com/media/DGBdLU1WsAANxJ9.jpg,1,,24556,4058
3,891689557279858688,2017-07-30 15:58:51,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",This is Darla. She commenced a snooze mid meal. 13/10 happens to the best of us https://t.co/tD36da7qLQ,https://twitter.com/dog_rates/status/891689557279858688/photo/1,13.0,10,Darla,"['This', 'is', 'Darla.', 'She', 'commenced', 'a', 'snooze', 'mid', 'meal.', '13/10', 'happens', 'to', 'the', 'best', 'of', 'us', 'https://t.co/tD36da7qLQ']",Darla,https://pbs.twimg.com/media/DF_q7IAWsAEuuN8.jpg,1,,41324,8442
4,891327558926688256,2017-07-29 16:00:24,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","This is Franklin. He would like you to stop calling him ""cute."" He is a very fierce shark and should be respected as such. 12/10 #BarkWeek https://t.co/AtUZn91f7f","https://twitter.com/dog_rates/status/891327558926688256/photo/1,https://twitter.com/dog_rates/status/891327558926688256/photo/1",12.0,10,Franklin,"['This', 'is', 'Franklin.', 'He', 'would', 'like', 'you', 'to', 'stop', 'calling', 'him', '""cute.""', 'He', 'is', 'a', 'very', 'fierce', 'shark', 'and', 'should', 'be', 'respected', 'as', 'such.', '12/10', '#BarkWeek', 'https://t.co/AtUZn91f7f']",Franklin,https://pbs.twimg.com/media/DF6hr6BUMAAzZgT.jpg,2,,39502,9147
5,891087950875897856,2017-07-29 00:08:17,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Here we have a majestic great white breaching off South Africa's coast. Absolutely h*ckin breathtaking. 13/10 (IG: tucker_marlo) #BarkWeek https://t.co/kQ04fDDRmh,https://twitter.com/dog_rates/status/891087950875897856/photo/1,13.0,10,,"['Here', 'we', 'have', 'a', 'majestic', 'great', 'white', 'breaching', 'off', 'South', ""Africa's"", 'coast.', 'Absolutely', 'h*ckin', 'breathtaking.', '13/10', '(IG:', 'tucker_marlo)', '#BarkWeek', 'https://t.co/kQ04fDDRmh']",,https://pbs.twimg.com/media/DF3HwyEWsAABqE6.jpg,1,,19851,3042
6,890971913173991426,2017-07-28 16:27:12,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Meet Jax. He enjoys ice cream so much he gets nervous around it. 13/10 help Jax enjoy more things by clicking below

https://t.co/Zr4hWfAs1H https://t.co/tVJBRMnhxl","https://gofundme.com/ydvmve-surgery-for-jax,https://twitter.com/dog_rates/status/890971913173991426/photo/1",13.0,10,Jax,"['Meet', 'Jax.', 'He', 'enjoys', 'ice', 'cream', 'so', 'much', 'he', 'gets', 'nervous', 'around', 'it.', '13/10', 'help', 'Jax', 'enjoy', 'more', 'things', 'by', 'clicking', 'below', 'https://t.co/Zr4hWfAs1H', 'https://t.co/tVJBRMnhxl']",Jax,https://pbs.twimg.com/media/DF1eOmZXUAALUcq.jpg,1,,11602,2015
7,890729181411237888,2017-07-28 00:22:40,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",When you watch your owner call another dog a good boy but then they turn back to you and say you're a great boy. 13/10 https://t.co/v0nONBcwxq,"https://twitter.com/dog_rates/status/890729181411237888/photo/1,https://twitter.com/dog_rates/status/890729181411237888/photo/1",13.0,10,,"['When', 'you', 'watch', 'your', 'owner', 'call', 'another', 'dog', 'a', 'good', 'boy', 'but', 'then', 'they', 'turn', 'back', 'to', 'you', 'and', 'say', ""you're"", 'a', 'great', 'boy.', '13/10', 'https://t.co/v0nONBcwxq']",,https://pbs.twimg.com/media/DFyBahAVwAAhUTd.jpg,2,,64066,18411
8,890609185150312448,2017-07-27 16:25:51,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",This is Zoey. She doesn't want to be one of the scary sharks. Just wants to be a snuggly pettable boatpet. 13/10 #BarkWeek https://t.co/9TwLuAGH0b,https://twitter.com/dog_rates/status/890609185150312448/photo/1,13.0,10,Zoey,"['This', 'is', 'Zoey.', 'She', ""doesn't"", 'want', 'to', 'be', 'one', 'of', 'the', 'scary', 'sharks.', 'Just', 'wants', 'to', 'be', 'a', 'snuggly', 'pettable', 'boatpet.', '13/10', '#BarkWeek', 'https://t.co/9TwLuAGH0b']",Zoey,https://pbs.twimg.com/media/DFwUU__XcAEpyXI.jpg,1,,27261,4177
9,890240255349198849,2017-07-26 15:59:51,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",This is Cassie. She is a college pup. Studying international doggo communication and stick theory. 14/10 so elegant much sophisticate https://t.co/t1bfwz5S2A,https://twitter.com/dog_rates/status/890240255349198849/photo/1,14.0,10,Cassie,"['This', 'is', 'Cassie.', 'She', 'is', 'a', 'college', 'pup.', 'Studying', 'international', 'doggo', 'communication', 'and', 'stick', 'theory.', '14/10', 'so', 'elegant', 'much', 'sophisticate', 'https://t.co/t1bfwz5S2A']",Cassie,https://pbs.twimg.com/media/DFrEyVuW0AAO3t9.jpg,1,doggo,31276,7201
